Building custom linters...
Running custom linters (largefunc max-lines=60)...
/home/runner/work/gh-aw/gh-aw/pkg/workflow/markdown_security_scanner.go:529:6: scanHTMLAbuse is 75 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/markdown_security_scanner.go:698:6: scanSocialEngineering is 81 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/mcp_cli_mount.go:67:6: getMCPCLIServerNames is 86 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/mcp_cli_mount.go:208:6: withMountedCLIShellCommandsInRestrictedBash is 71 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/mcp_config_playwright_renderer.go:102:6: renderPlaywrightMCPConfigWithOptions is 64 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/mcp_environment.go:63:6: collectMCPEnvironmentVariables is 152 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/mcp_gateway_config.go:123:6: buildMCPGatewayConfig is 85 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/mcp_property_validation.go:48:6: validateMCPRequirements is 168 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/mcp_renderer.go:127:6: RenderJSONMCPConfig is 156 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/mcp_renderer_builtin.go:192:36: renderAgenticWorkflowsTOML is 61 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/mcp_renderer_builtin.go:258:6: renderSafeOutputsMCPConfigWithOptions is 85 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/mcp_renderer_builtin.go:349:6: renderAgenticWorkflowsMCPConfigWithOptions is 128 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/mcp_renderer_github.go:18:36: RenderGitHubMCP is 91 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/mcp_renderer_github.go:113:36: renderGitHubTOML is 101 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/mcp_scripts_dependencies_validation.go:71:6: validateMCPScriptDependencyName is 65 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/mcp_scripts_generator.go:37:6: GenerateMCPScriptsToolsConfig is 103 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/mcp_scripts_parser.go:84:6: parseMCPScriptToolConfig is 125 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/mcp_setup_gateway.go:135:6: writeMCPGatewayExports is 61 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/mcp_setup_gateway.go:213:6: buildMCPGatewayContainerCommand is 75 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/mcp_setup_safe_outputs.go:22:6: generateSafeOutputsSetup is 76 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/mcp_setup_scripts.go:15:6: generateMCPScriptsSetup is 88 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/metrics.go:91:6: ExtractJSONTokenUsage is 71 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/missing_issue_reporting.go:57:20: parseIssueReportingConfig is 82 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/model_identifier.go:162:6: ParseModelIdentifier is 63 lines long (limit: 60); consider breaking it up
